Policy Term,Migrate To,Special Instructions,Becomes
No policy registered in OpenDOAR.,,Ignore,
Anyone may access the metadata free of charge.,,,Anyone can read the metadata
Anyone may access full items free of charge.,,,Anyone can read the full text or view the image
This is an institutional or departmental repository.,"register.metadata.record.repository_type:[""Institutional""]",,
No metadata re-use policy defined. Assume no rights at all have been granted.,,Ignore,
No preservation policy defined.,,Ignore,
No full-item re-use policy defined. Assume no rights at all have been granted.,,Ignore,
No content policy defined.,,Ignore,
No submission policy defined.,,Ignore,
For more information see webpage:,,,Visit webpage for more details
The validity and authenticity of the content of submissions is the sole responsibility of the depositor.,,,Depositing authors are responsible for content and copyright  
Full items must not be sold commercially in any format or medium without formal permission of the copyright holders.,,,Copyright holders permission needed for any commercial use
"For more information, please see webpage:",,,Visit webpage for more details
No embargo policy defined.,,Ignore,
The repository holds all types of materials.,,,
Authors may only submit their own work for archiving.,,,Only Authors' own work accepted
Items will be retained indefinitely.,,Keep,
Any copyright violations are entirely the responsibility of the authors/depositors.,,,Depositing authors are responsible for content and copyright
Acceptable reasons for withdrawal include:,,Keep,
Withdrawn items' identifiers/URLs are retained indefinitely.,,Keep,
This is a multi-institution subject-based repository.,"register.metadata.record.repository_type:[""Subject""]",,
The repository regularly backs up its files according to current best practice.,,Keep,
No closure policy defined.,,Ignore,
"If the repository receives proof of copyright violation, the relevant item will be removed immediately.",,Keep,
Deposited items may include:,,Ignore,
"Withdrawn items are not deleted per se, but are removed from public view.",,Keep,
Single copies of full items can be:,,,
Copies of full items generally can be:,,,
No moderation policy defined. Assume nothing has been vetted.,,Ignore,
The repository will try to ensure continued readability and accessibility.,,Keep,
"URLs will continue to point to 'tombstone' citations, to avoid broken links and to retain item histories.",,Keep,
The metadata must not be re-used in any medium for commercial purposes without formal permission.,,,Copyright holders permission needed for any commercial use 
"Items can be deposited at any time, but will not be made publicly visible until any publishers' or funders' embargo period has expired.",,,Items with embargos can be deposited and will be released when embargo has ceased 
Items may not normally be removed from the repository.,,,Items cannot be changed or removed from repository
"In the event of the repository being closed down, the database will be transferred to another appropriate archive.",,Keep,
No file preservation policy defined.,,Ignore,
Changes to deposited items are not permitted.,,,Items cannot be changed or removed
Items are individually tagged with:,,Ignore,
This repository is not the publisher; it is merely the online archive.,,,This repository is not the publisher
Access to some or all full items is controlled.,,,Controlled access to certain items
No retention period defined.,,Ignore,
No deletion method for withdrawn items defined.,,Ignore,
No functional specification policy has been defined.,,Ignore,
"If necessary, an updated version may be deposited.",,,Updated versions or work may be deposited
Eligible depositors must deposit bibliographic metadata for all their publications.,,,Authors must deposit metada with their work
The metadata may be re-used in any medium without prior permission for not-for-profit purposes provided the OAI Identifier or a link to the original metadata record are given.,,,Metadata can be freely reused for not for profit reasons provided they are linked to original record
"If necessary, an updated version may be deposited.",,,Updated versions or work may be deposited
Subject Specialities:,,,
The validity and authenticity of the content of submissions is not checked.,,,Depositing authors are responsible for content and copyright
Mention of the repository is appreciated but not mandatory.,,Ignore,
No withdrawal policy defined.,,Ignore,
"The administrator only vets items for the eligibility of authors/depositors, relevance to the scope of the repository, valid layout & format, and the exclusion of spam",,,Content checked by administrators
Errata and corrigenda lists may be included with the original record if required.,,Keep,
"The original bit stream is retained for all items, in addition to any upgraded formats.",,Keep,
The repository will try to ensure continued readability and accessibility.,,Merge  with 31,The repository will try to ensure continued readability and accessibility.
